Guid,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,SBQQ__Contracted__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c
cb0b3b8d-c1ab-4109-8acd-8158d9009b6c,"salesforce.com - 1,000 Widgets",They are interested in our widgets!  The deal is at 90% because they are at the sales process stage of negotiating the finer points of a proposal that we submitted.  We are negotiating with their key decision makers and are confident that this deal will close soon.,Negotiation/Review,100000.0,90.0,2021-01-05,New Business,Close the deal!,Advertisement,Pipeline,false,false,#N/A,false,#N/A,false
055067c5-ff7d-4dfe-8d45-119212f0e5e5,salesforce.com - 5000 Widgets,Initial deal for 5000 widgets. We expect follow-on business with a potential upside of 40000 additional widgets over the next 12 months.,Closed Won,500000.0,100.0,2020-12-03,New Business,Closed!,Advertisement,Closed,false,false,#N/A,false,#N/A,false
274ce3d0-d5c8-4398-b627-36cb92798572,Global Media - 400 Widgets,The deal is at 60% because they are still at the sales process stage of getting buy-in from the key decision makers.,Id. Decision Makers,40000.0,60.0,2021-02-03,New Business,#N/A,Partner,Pipeline,false,false,#N/A,false,#N/A,false
1116cc7c-a700-4b83-be81-6a5a7538d6f6,LLL,#N/A,Id. Decision Makers,#N/A,60.0,2023-11-17,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false
39a95ad7-f67a-44df-a461-3537bcf409bb,salesforce.com - 500 Widgets,Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.,Closed Won,50000.0,100.0,2020-12-03,Existing Business,Closed!,Advertisement,Closed,false,false,#N/A,false,#N/A,false
3a8da445-5c2b-48e0-86c3-e8b61bbb5c8f,Acme - 600 Widgets,The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Needs Analysis,70000.0,20.0,2021-03-03,New Business,Need estimate,Trade Show,Pipeline,false,false,#N/A,false,#N/A,false
309e5a97-fd2a-4894-b7b5-a4431129faa6,Acme - 200 Widgets,The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.,Prospecting,20000.0,10.0,2021-05-06,Existing Business,Need estimate,Word of mouth,Pipeline,false,false,#N/A,false,#N/A,false
29a23fff-dc30-4da5-b80e-141a367bd1ff,salesforce.com - 5000 Widgets,Initial deal for 5000 widgets. We expect follow-on business with a potential upside of 40000 additional widgets over the next 12 months.,Closed Won,500000.0,100.0,2020-12-03,New Business,Closed!,Advertisement,Closed,false,false,#N/A,false,#N/A,false
ddedb7cd-cd64-4462-b53f-82d98afc6bb2,Global Media - 400 Widgets,The deal is at 60% because they are still at the sales process stage of getting buy-in from the key decision makers.,Id. Decision Makers,40000.0,60.0,2021-02-03,New Business,#N/A,Partner,Pipeline,false,false,#N/A,false,#N/A,false
2ac2b85a-c1ad-4202-955c-1381d9e235a8,"Acme - 1,200 Widgets",The deal is at  50% because they are at the sales process stage of evaluating our ROI justification.,Value Proposition,140000.0,50.0,2021-01-05,Existing Business,Need estimate,Trade Show,Pipeline,false,false,#N/A,false,#N/A,false
607652b7-81a2-4bc1-bd2b-385e67c47429,"salesforce.com - 2,000 Widgets",More widgets required.  The deal is at 50% because they are still at the sales process stage of evaluating the business/value justification that we submitted.,Value Proposition,20000.0,50.0,2021-03-05,Existing Business,Meet at Widget Conference,Partner,Pipeline,false,false,#N/A,false,#N/A,false
c849dbc5-c437-4ec9-aef8-d93fd10193db,"Acme - 1,200 Widgets",The deal is at  50% because they are at the sales process stage of evaluating our ROI justification.,Value Proposition,140000.0,50.0,2021-01-05,Existing Business,Need estimate,Trade Show,Pipeline,false,false,#N/A,false,#N/A,false
3766acae-be13-4517-ad92-2c3c65bf1a84,Test,#N/A,Qualification,#N/A,10.0,2024-02-28,#N/A,#N/A,#N/A,Pipeline,false,false,#N/A,false,#N/A,false
1476941a-31f7-4017-a6e5-03bab49e2533,Acme - 600 Widgets,The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Needs Analysis,70000.0,20.0,2021-03-03,New Business,Need estimate,Trade Show,Pipeline,false,false,#N/A,false,#N/A,false
c6fdd12e-a1a6-4e20-9781-474873a43709,salesforce.com - 500 Widgets,Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.,Closed Won,50000.0,100.0,2020-12-03,Existing Business,Closed!,Advertisement,Closed,false,false,#N/A,false,#N/A,false
b71b4508-2cb3-4de5-b721-a491efcafa01,Acme - 200 Widgets,The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.,Prospecting,20000.0,10.0,2021-05-06,Existing Business,Need estimate,Word of mouth,Pipeline,false,false,#N/A,false,#N/A,false
